"employees","salaries_2017","salary_adjustments","salaries_2018","raise"
"employee 72",40689.8694345728,3470.09858698584,44159.9680215586,TRUE
"employee 73",49087.6530227251,-4403.97207858041,44683.6809441447,FALSE
"employee 74",49569.5072272792,2285.33915593289,51854.8463832121,TRUE
"employee 75",45618.117894046,8682.56287183613,54300.6807658821,TRUE
"employee 76",43112.0449118316,-2420.96630739979,40691.0786044318,FALSE
"employee 77",41930.5028230883,-1904.02542473748,40026.4773983508,FALSE
"employee 78",46724.6118653566,1048.01504989155,47772.6269152481,TRUE
"employee 79",43034.7669846378,-2044.67104631476,40990.0959383231,FALSE
"employee 80",41141.6676314548,-811.858765082434,40329.8088663723,FALSE
"employee 81",42475.3839266486,1883.18201806396,44358.5659447126,TRUE
"employee 82",49073.9916963503,4132.84201174974,53206.8337081,TRUE
"employee 83",44779.7333076596,2210.9568095766,46990.6901172362,TRUE
"employee 84",41609.7994986922,-881.724935024977,40728.0745636672,FALSE
"employee 85",47281.1471996829,6032.23182377405,53313.3790234569,TRUE
"employee 86",45437.9803990014,-4265.01946523786,41172.9609337635,FALSE
"employee 87",43817.6097953692,1004.89338859916,44822.5031839684,TRUE
"employee 88",40923.7552108243,-208.28680600971,40715.4684048146,FALSE
"employee 89",49076.245368924,8305.28524122201,57381.530610146,TRUE
"employee 90",41913.1748285145,-758.066528942436,41155.108299572,FALSE
"employee 91",49624.4924492203,4365.94082508236,53990.4332743026,TRUE
"employee 92",42529.3162581511,-3205.83099499345,39323.4852631576,FALSE
"employee 93",45593.2202166878,-4736.345524434,40856.8746922538,FALSE
"employee 94",47781.6758677363,2729.01086136699,50510.6867291033,TRUE
"employee 95",47997.3412747495,-501.468756701797,47495.8725180477,FALSE
"employee 96",40332.4621450156,6098.1151543092,46430.5772993248,TRUE
"employee 97",40204.4127671979,1797.40678635426,42001.8195535522,TRUE
"employee 98",44734.883189667,-1684.05256001279,43050.8306296542,FALSE
"employee 99",49607.5695916079,-805.386441061273,48802.1831505466,FALSE
"employee 100",45427.089415025,-4244.93275815621,41182.1566568688,FALSE
